factor,IC_H1,IC_H3,IC_H5,IC_H10,abs_ic_mean,n_stocks
反转20日,-0.0002925412304951548,0.003080692586876091,0.012204041460671023,-0.004455408491646,0.005008170942422067,12
动量60日,-0.020567685177926898,-0.03728496224448442,-0.05644697610745605,-0.07229149073605413,0.04664777856648038,12
波动率20日,0.026154172811242146,0.018145177075888884,0.022075205927298325,0.012172593481899564,0.01963678732408223,12
量比(60日),0.021115808968167685,0.03142409021700575,0.038604756369336864,0.05075207269084173,0.035474182061338004,12
额比(60日),0.016969650340750483,0.024491740739150402,0.027909606569677028,0.03698840849379357,0.026589851535842868,12
振幅,0.022154977442704935,0.010343087281288693,0.012029205715553638,0.006235949637129497,0.012690805019169192,12
roe,0.016667325585380543,0.030570996477641794,0.029803544858961525,0.041148824981327055,0.029547672975827728,12
gross_margin,-0.015164221562935001,-0.03450029577080999,-0.043733757504755257,-0.05923285303388045,0.038157781968095175,12
net_margin,-0.003141192750160851,-0.01806823856480805,-0.022377174272254996,-0.02624754503873311,0.01745853765648925,12
np_yoy,0.011019618530934116,0.015238108313582863,0.020738128757018855,0.02677082344481521,0.018441669761587762,12
rev_yoy,0.025523677548628,0.03718684591705969,0.05578278029169385,0.08403100464090739,0.050631077099572236,12
debt_ratio,0.0006543766040606464,0.0032025040528860984,-3.3413396887496324e-05,0.0008740446916849382,0.0011910846863797948,12
asset_turnover,0.005995918965894145,0.01709726996545542,0.016977519854161408,0.022393347462767665,0.01561601406206966,12
ocf_to_income,0.010050444931343067,0.02325383515537363,0.020615134191294196,0.024511598905502096,0.019607753295878248,12
np_cash_content,-0.002530514897135823,0.0012686014004692017,-0.004407561049548789,-0.008865103565250247,0.004267945228101015,12
