date,open,high,low,close,volume,amount,outstanding_share,turnover,code,name
2021-01-04,56.72,57.55,55.8,56.85,13887713.0,1476688359.0,1044090754.0,0.013301250822110047,600570,恒生电子
2021-01-05,56.51,59.22,56.39,58.7,15178699.0,1656565275.0,1044090754.0,0.01453771996528953,600570,恒生电子
2021-01-06,58.3,58.71,54.63,55.26,27879182.0,2913842218.0,1044090754.0,0.026701876147444556,600570,恒生电子
2021-01-07,55.26,55.63,51.19,52.56,41259844.0,4073574952.0,1044090754.0,0.03951748815122636,600570,恒生电子
2021-01-08,52.62,53.58,51.54,53.29,24074709.0,2372453701.0,1044090754.0,0.023058061674971982,600570,恒生电子
2021-01-11,53.23,53.79,51.72,51.98,18952299.0,1864093312.0,1044090754.0,0.01815196516911211,600570,恒生电子
2021-01-12,51.84,54.61,51.3,54.08,21403949.0,2121027756.0,1044090754.0,0.02050008480393075,600570,恒生电子
2021-01-13,54.08,54.08,50.55,50.87,30610517.0,2960530523.0,1044090754.0,0.02931787000577155,600570,恒生电子
2021-01-14,50.86,52.61,50.34,51.3,16740989.0,1621027976.0,1044090754.0,0.01603403625198658,600570,恒生电子
2021-01-15,51.94,52.64,50.14,51.19,15541642.0,1492513785.0,1044090754.0,0.014885336299032105,600570,恒生电子
2021-01-18,50.97,52.51,50.49,51.94,18087109.0,1749226379.0,1044090754.0,0.017323311149635943,600570,恒生电子
2021-01-19,51.84,53.47,51.47,52.21,15583208.0,1523824215.0,1044090754.0,0.014925147014566896,600570,恒生电子
2021-01-20,52.26,53.49,51.32,52.91,15003459.0,1467656750.0,1044090754.0,0.01436988014932656,600570,恒生电子
2021-01-21,53.01,54.82,52.08,54.61,20427748.0,2050068118.0,1044090754.0,0.019565107651551908,600570,恒生电子
2021-01-22,54.1,55.09,53.28,53.43,16446325.0,1658852305.0,1044090754.0,0.015751815574453407,600570,恒生电子
2021-01-25,53.0,53.07,51.29,51.33,22354686.0,2166330957.0,1044090754.0,0.021410673271798745,600570,恒生电子
2021-01-26,51.33,51.94,49.96,50.02,17032364.0,1614121680.0,1044090754.0,0.016313106820214213,600570,恒生电子
2021-01-27,50.02,51.68,49.59,51.23,14596683.0,1383675174.0,1044090754.0,0.01398028183285684,600570,恒生电子
2021-01-28,50.55,51.79,50.4,50.5,10379933.0,990019219.0,1044090754.0,0.009941600344829795,600570,恒生电子
2021-01-29,51.24,53.98,51.14,52.01,21239085.0,2086304650.0,1044090754.0,0.020342182821398685,600570,恒生电子
2021-02-01,52.83,55.28,52.57,55.27,25870685.0,2628211530.0,1044090754.0,0.024778195670143825,600570,恒生电子
2021-02-02,55.8,58.15,55.8,57.74,22070599.0,2361432382.0,1044090754.0,0.021138582939697212,600570,恒生电子
2021-02-03,56.93,57.89,56.39,56.71,12733727.0,1358650727.0,1044090754.0,0.012195996326196754,600570,恒生电子
2021-02-04,56.29,56.42,54.07,55.42,15744573.0,1619304585.0,1044090754.0,0.015079697755852361,600570,恒生电子
2021-02-05,55.16,55.58,53.06,53.15,14047614.0,1415763012.0,1044090754.0,0.013454399386434945,600570,恒生电子
2021-02-08,54.81,55.42,53.61,54.75,11723487.0,1196021742.0,1044090754.0,0.011228417601713577,600570,恒生电子
2021-02-09,55.37,57.13,55.0,56.57,13701275.0,1438720058.0,1044090754.0,0.013122685884832574,600570,恒生电子
2021-02-10,56.23,57.66,56.04,56.95,12258164.0,1303749081.0,1044090754.0,0.011740515805774485,600570,恒生电子
2021-02-18,58.66,58.85,54.35,54.48,15523899.0,1619403875.0,1044090754.0,0.014868342565554412,600570,恒生电子
2021-02-19,54.07,54.57,51.02,52.38,19025479.0,1861423463.0,1044090754.0,0.018222054861717508,600570,恒生电子
2021-02-22,52.57,54.47,51.41,51.66,17008882.0,1677268041.0,1044090754.0,0.01629061643811856,600570,恒生电子
2021-02-23,51.51,52.37,51.14,51.34,12202500.0,1177493304.0,1044090754.0,0.0116872024325962,600570,恒生电子
2021-02-24,51.49,51.84,49.27,49.91,21147428.0,1976314743.0,1044090754.0,0.020254396391293013,600570,恒生电子
2021-02-25,50.3,50.41,48.87,49.0,12190275.0,1123034871.0,1044090754.0,0.011675493680312775,600570,恒生电子
2021-02-26,47.61,48.14,46.05,46.8,21375410.0,1876206237.0,1044090754.0,0.02047275097314002,600570,恒生电子
2021-03-01,47.82,48.46,46.76,48.39,14647099.0,1302970798.0,1044090754.0,0.014028568823050798,600570,恒生电子
2021-03-02,49.02,49.69,48.25,48.56,12847744.0,1173710916.0,1044090754.0,0.012305198519170106,600570,恒生电子
2021-03-03,48.19,49.79,47.58,49.45,9758185.0,893311998.0,1044090754.0,0.009346108049147612,600570,恒生电子
2021-03-04,49.1,49.23,46.82,47.11,13294893.0,1183048630.0,1044090754.0,0.01273346493019514,600570,恒生电子
2021-03-05,46.41,48.19,46.32,47.69,8561552.0,759999439.0,1044090754.0,0.008200007487088618,600570,恒生电子
2021-03-08,48.23,48.35,44.61,45.27,16412500.0,1410125488.0,1044090754.0,0.015719418965374727,600570,恒生电子
2021-03-09,45.16,46.59,44.51,45.68,11977127.0,1024835335.0,1044090754.0,0.011471346675674133,600570,恒生电子
2021-03-10,46.21,47.06,44.98,45.39,9463611.0,811565684.0,1044090754.0,0.009063973571017755,600570,恒生电子
2021-03-11,45.58,46.34,45.2,45.96,7095128.0,607240078.0,1044090754.0,0.006795508889258874,600570,恒生电子
2021-03-12,46.48,47.04,45.4,47.02,10557884.0,911176693.0,1044090754.0,0.0101120366783748,600570,恒生电子
2021-03-15,45.81,47.33,45.81,46.96,9552926.0,833012637.0,1044090754.0,0.00914951690109498,600570,恒生电子
2021-03-16,46.57,47.34,45.31,45.91,10901401.0,935647792.0,1044090754.0,0.010441047349797717,600570,恒生电子
2021-03-17,45.84,47.97,44.98,47.93,11907586.0,1044524672.0,1044090754.0,0.011404742312276046,600570,恒生电子
2021-03-18,48.19,48.41,47.3,47.66,10081648.0,899213619.0,1044090754.0,0.009655911577969974,600570,恒生电子
2021-03-19,47.1,47.1,45.52,45.52,14516267.0,1243924637.0,1044090754.0,0.01390326170822503,600570,恒生电子
2021-03-22,45.7,47.05,45.59,46.8,7290392.0,632357286.0,1044090754.0,0.006982527114687964,600570,恒生电子
2021-03-23,46.55,47.07,44.86,45.19,12544914.0,1066357946.0,1044090754.0,0.012015156682442952,600570,恒生电子
2021-03-24,45.25,45.47,44.07,44.33,8695490.0,727091588.0,1044090754.0,0.008328289439099851,600570,恒生电子
2021-03-25,44.14,45.09,42.91,44.32,8669573.0,715383026.0,1044090754.0,0.00830346688425899,600570,恒生电子
2021-03-26,44.14,45.78,44.14,45.28,8500439.0,717176945.0,1044090754.0,0.008141475218925269,600570,恒生电子
2021-03-29,45.55,45.57,43.64,44.07,12924512.0,1071676716.0,1044090754.0,0.012378724694654274,600570,恒生电子
2021-03-30,44.07,45.18,43.96,44.62,10210195.0,850735994.0,1044090754.0,0.009779030185722725,600570,恒生电子
2021-03-31,44.48,45.21,44.23,44.98,6590979.0,550882134.0,1044090754.0,0.006312649522801923,600570,恒生电子
2021-04-01,44.82,45.39,44.7,45.3,6243549.0,526156280.0,1044090754.0,0.005979891092877162,600570,恒生电子
2021-04-02,45.41,45.75,45.09,45.4,6068807.0,514468501.0,1044090754.0,0.005812528246945859,600570,恒生电子
2021-04-06,45.41,46.17,44.87,46.05,6221357.0,527741911.0,1044090754.0,0.005958636235562335,600570,恒生电子
