stock,name,daily_rows,daily_first,daily_last,daily_rows_in_window,daily_halted_days_in_window,daily_missing_or_nan_close_in_window,min5_rows,min5_days,min5_first_day,min5_last_day,min5_days_in_window,min5_missing_days_in_window,min5_missing_days_sample,bars_per_day_mode,price_basis,duplicate_dates_daily
601138,工业富联,1043,2022-06-01,2026-09-14,726,0,0,38352,799,2023-06-01,2026-09-14,726,0,,48,"前复权(qfq, adjustflag=2)",0
002156,通富微电,1043,2022-06-01,2026-09-14,726,0,0,38352,799,2023-06-01,2026-09-14,726,0,,48,"前复权(qfq, adjustflag=2)",0
600487,亨通光电,1043,2022-06-01,2026-09-14,726,0,0,38352,799,2023-06-01,2026-09-14,726,0,,48,"前复权(qfq, adjustflag=2)",0
603380,易德龙,1043,2022-06-01,2026-09-14,726,0,0,38352,799,2023-06-01,2026-09-14,726,0,,48,"前复权(qfq, adjustflag=2)",0
600988,赤峰黄金,1043,2022-06-01,2026-09-14,726,2,0,38256,797,2023-06-01,2026-09-14,724,2,"2026-03-19,2026-03-20",48,"前复权(qfq, adjustflag=2)",0
600460,士兰微,1043,2022-06-01,2026-09-14,726,0,0,38352,799,2023-06-01,2026-09-14,726,0,,48,"前复权(qfq, adjustflag=2)",0
600522,中天科技,1043,2022-06-01,2026-09-14,726,0,0,38352,799,2023-06-01,2026-09-14,726,0,,48,"前复权(qfq, adjustflag=2)",0
002396,星网锐捷,1043,2022-06-01,2026-09-14,726,0,0,38352,799,2023-06-01,2026-09-14,726,0,,48,"前复权(qfq, adjustflag=2)",0
600219,南山铝业,1043,2022-06-01,2026-09-14,726,0,0,38352,799,2023-06-01,2026-09-14,726,0,,48,"前复权(qfq, adjustflag=2)",0
000878,云南铜业,1043,2022-06-01,2026-09-14,726,9,0,37920,790,2023-06-01,2026-09-14,717,9,"2025-05-13,2025-05-14,2025-05-15,2025-05-16,2025-05-19,2025-05-20,2025-05-21,2025-05-22",48,"前复权(qfq, adjustflag=2)",0
000938,紫光股份,1043,2022-06-01,2026-09-14,726,0,0,38352,799,2023-06-01,2026-09-14,726,0,,48,"前复权(qfq, adjustflag=2)",0
600760,中航沈飞,1043,2022-06-01,2026-09-14,726,0,0,38352,799,2023-06-01,2026-09-14,726,0,,48,"前复权(qfq, adjustflag=2)",0
