stock,name,total_return_pct,annualized_pct,max_drawdown_pct,n_closed_trades,win_rate_pct,avg_pnl_per_trade,profit_factor,realized_pnl,unrealized_pnl_open,end_equity,avg_exposure_pct,fee_total,max_consecutive_losses,bh_net_return_pct,yearly_2023,yearly_2024,yearly_2025,yearly_2026,blocked_json
601138,工业富联,-2.8369,-0.9539,-6.6923,6,50.0,-65.36,0.5394,-392.15,0.0,13430.34,1.413,102.55,2,222.8133,0.0,-2.8369,0.0,0.0,"{""cond_ma60"": 19527, ""cond_atr_band"": 8095, ""cond_vol_ratio"": 1028, ""cooldown_block"": 453, ""size_single_risk"": 375, ""recommended"": 6}"
002156,通富微电,-2.3567,-0.7911,-8.4802,15,40.0,-21.72,0.8464,-325.75,0.0,13496.72,3.919,252.09,4,188.6776,2.8562,-7.329,4.5947,-2.0604,"{""cond_ma60"": 16499, ""cond_atr_band"": 6312, ""cooldown_block"": 1477, ""cond_vol_ratio"": 1186, ""size_single_risk"": 793, ""recommended"": 15}"
600487,亨通光电,4.0875,1.3431,-7.0762,11,63.636,51.36,1.5416,564.99,0.0,14387.46,4.671,188.05,2,356.993,0.0,2.5352,-4.1121,5.8672,"{""cond_ma60"": 14852, ""cond_atr_band"": 9451, ""cooldown_block"": 827, ""cond_vol_ratio"": 503, ""size_single_risk"": 41, ""recommended"": 11}"
603380,易德龙,1.9086,0.6316,-9.1894,19,42.105,13.88,1.1118,263.81,0.0,14086.28,5.945,321.4,5,52.4327,-1.0617,1.3875,5.2691,-3.4926,"{""cond_ma60"": 16179, ""cond_atr_band"": 6079, ""cooldown_block"": 1593, ""cond_vol_ratio"": 245, ""recommended"": 19}"
600988,赤峰黄金,2.4639,0.8139,-12.4763,24,41.667,15.42,1.1049,370.08,-29.5,14163.04,6.148,413.72,4,190.1946,-1.995,-8.5946,4.2677,9.6986,"{""cond_ma60"": 13734, ""cond_atr_band"": 6993, ""cooldown_block"": 2304, ""cond_vol_ratio"": 849, ""cond_vol_missing"": 111, ""recommended"": 25}"
600460,士兰微,-12.2383,-4.2544,-12.2383,13,23.077,-130.12,0.1215,-1691.62,0.0,12130.84,2.554,216.07,4,17.1486,0.0,-5.9234,-0.2229,-6.5041,"{""cond_ma60"": 20998, ""cond_atr_band"": 4929, ""cooldown_block"": 1332, ""cond_vol_ratio"": 403, ""size_single_risk"": 150, ""recommended"": 13}"
600522,中天科技,-2.0257,-0.6792,-7.2097,15,40.0,-18.67,0.8588,-280.01,0.0,13542.47,6.021,252.23,3,147.0077,0.0,-4.0666,-1.5877,3.7751,"{""cond_ma60"": 15162, ""cond_atr_band"": 7532, ""cooldown_block"": 1191, ""cond_vol_ratio"": 400, ""size_single_risk"": 98, ""recommended"": 15}"
002396,星网锐捷,-5.1879,-1.7585,-9.9227,14,42.857,-48.25,0.6238,-675.53,-41.6,13105.38,3.677,245.01,3,132.9403,0.0,2.0886,-5.266,-1.9651,"{""cond_ma60"": 17984, ""cond_atr_band"": 6779, ""cooldown_block"": 1552, ""cond_vol_ratio"": 505, ""recommended"": 15}"
600219,南山铝业,33.7791,10.177,-4.037,11,72.727,424.46,6.008,4669.1,0.0,18491.57,7.501,194.87,1,74.0741,0.0,-0.8799,15.834,16.5173,"{""cond_ma60"": 16685, ""cond_atr_band"": 5960, ""cooldown_block"": 1151, ""cond_vol_ratio"": 338, ""recommended"": 11}"
000878,云南铜业,-2.5714,-0.8638,-7.123,15,46.667,-22.07,0.8352,-331.0,-24.4,13467.04,6.087,262.62,3,46.2098,-2.0101,-0.4576,1.1448,-1.2463,"{""cond_ma60"": 16453, ""cond_atr_band"": 5492, ""cooldown_block"": 1585, ""cond_vol_ratio"": 265, ""recommended"": 16}"
000938,紫光股份,-6.3679,-2.1674,-9.3851,23,39.13,-38.27,0.6452,-880.21,0.0,12942.27,4.363,378.96,3,28.6199,0.0,-3.1769,-2.1872,-1.1333,"{""cond_ma60"": 16530, ""cond_atr_band"": 5483, ""cooldown_block"": 2108, ""cond_vol_ratio"": 617, ""recommended"": 23}"
600760,中航沈飞,8.9899,2.9084,-4.7673,7,71.429,177.52,3.2422,1242.63,0.0,15065.1,5.774,121.66,1,6.9774,0.0,7.5812,1.3094,0.0,"{""cond_ma60"": 19186, ""cond_atr_band"": 4657, ""cond_vol_ratio"": 568, ""cooldown_block"": 546, ""size_single_risk"": 407, ""recommended"": 7}"
