run,date,cash,market_value,equity,n_pos,exposure_pct
portfolio_main,2023-09-14,13822.47,0.0,13822.47,0,0.0
portfolio_main,2023-09-15,13822.47,0.0,13822.47,0,0.0
portfolio_main,2023-09-18,13822.47,0.0,13822.47,0,0.0
portfolio_main,2023-09-19,13822.47,0.0,13822.47,0,0.0
portfolio_main,2023-09-20,13822.47,0.0,13822.47,0,0.0
portfolio_main,2023-09-21,13822.47,0.0,13822.47,0,0.0
portfolio_main,2023-09-22,4974.77,8891.83,13866.59,2,64.124
portfolio_main,2023-09-25,4974.77,8902.4,13877.17,2,64.151
portfolio_main,2023-09-26,4974.77,8830.45,13805.22,2,63.965
portfolio_main,2023-09-27,4974.77,8780.34,13755.11,2,63.833
portfolio_main,2023-09-28,4974.77,8738.24,13713.01,2,63.722
portfolio_main,2023-10-09,9088.54,4407.1,13495.64,1,32.656
portfolio_main,2023-10-10,9088.54,4373.09,13461.63,1,32.486
portfolio_main,2023-10-11,9088.54,4350.41,13438.95,1,32.372
portfolio_main,2023-10-12,9088.54,4433.56,13522.1,1,32.788
portfolio_main,2023-10-13,9088.54,4305.05,13393.59,1,32.143
portfolio_main,2023-10-16,9088.54,4308.83,13397.37,1,32.162
portfolio_main,2023-10-17,9088.54,4320.17,13408.71,1,32.219
portfolio_main,2023-10-18,9088.54,4244.58,13333.12,1,31.835
portfolio_main,2023-10-19,9088.54,4203.0,13291.54,1,31.622
portfolio_main,2023-10-20,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-10-23,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-10-24,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-10-25,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-10-26,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-10-27,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-10-30,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-10-31,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-11-01,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-11-02,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-11-03,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-11-06,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-11-07,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-11-08,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-11-09,13268.88,0.0,13268.88,0,0.0
portfolio_main,2023-11-10,10954.41,2295.05,13249.46,1,17.322
portfolio_main,2023-11-13,10954.41,2328.52,13282.93,1,17.53
portfolio_main,2023-11-14,10954.41,2317.37,13271.77,1,17.461
portfolio_main,2023-11-15,10954.41,2310.86,13265.27,1,17.42
