code,name,pairs,ratio_first,ratio_last,n_adjust_events,events_sample,close_end_qfq,close_end_raw
601138,工业富联,1043,0.869078,1.0,6,"2022-08-05,2023-07-28,2024-08-15,2025-07-31,2026-01-16,2026-08-03",61.57,61.57
002156,通富微电,1043,0.992613,1.0,4,"2023-05-30,2024-06-25,2025-06-17,2026-05-28",56.78,56.78
600487,亨通光电,1043,0.963804,1.0,5,"2022-07-08,2023-07-07,2024-07-16,2025-06-27,2026-06-29",63.2,63.2
603380,易德龙,1043,0.920281,1.0,5,"2022-06-16,2023-07-18,2024-07-23,2025-06-06,2026-06-09",33.92,33.92
600988,赤峰黄金,1043,0.982527,1.0,3,"2024-05-29,2025-06-27,2026-05-27",44.48,44.48
600460,士兰微,1043,0.990946,1.0,4,"2022-07-13,2023-05-12,2025-06-30,2026-07-20",29.85,29.85
600522,中天科技,1043,0.948417,1.0,5,"2022-08-05,2023-08-04,2024-07-15,2025-07-25,2026-07-15",33.9,33.9
002396,星网锐捷,1043,0.733992,1.0,5,"2022-07-15,2023-07-11,2024-06-03,2025-05-30,2026-05-25",34.82,34.82
600219,南山铝业,1043,0.818871,1.0,9,"2022-06-17,2023-06-16,2024-04-23,2024-10-11,2024-11-25,2025-05-12",4.81,4.81
000878,云南铜业,1043,0.911618,1.0,5,"2023-05-24,2024-05-23,2024-09-30,2025-05-30,2026-05-22",16.83,16.83
000938,紫光股份,1043,0.983786,1.0,4,"2022-08-08,2024-06-19,2025-06-13,2026-06-12",32.73,32.73
600760,中航沈飞,1043,0.690851,1.0,6,"2023-06-27,2024-06-20,2025-01-20,2025-05-21,2026-02-11,2026-05-27",45.5,45.5
